index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
201,>1150,Intel Core i7,16,1920x1080,1024,Windows 10,2.5,ACER,8,15.6,False,True,True,True,True,False
202,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,0.980,HP,6,15.6,False,True,True,True,True,True
204,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,0.990,ACER,4,14,False,True,True,True,True,False
205,Entre 400 et 600,AMD Athlon,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
206,Entre 600 et 800,Intel Core i7,8,1920x1080,512,Windows 10,1.60,ASUS,4,14,False,False,False,False,False,False
208,Entre 800 et 1150,Intel Core i7,16,,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
209,Entre 400 et 600,Intel Core i3,4,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
210,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.9,ACER,4,15.6,False,True,True,True,True,False
211,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.46,HP,6,16.1,False,True,True,True,True,True
212,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.7,LENOVO,2,15.6,False,True,True,True,True,True
213,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
214,Entre 600 et 800,Intel Core i5,16,1920x1080,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
216,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.85,LENOVO,4,15.6,False,True,True,True,False,True
217,>1150,AMD Ryzen,16,3840x2400,1000,Windows 10,1.3,ASUS,8,13.4,False,True,True,True,True,False
218,>1150,Intel Core i7,16,2560x1600,1000,Windows 10,2.2,MSI,8,16,False,True,False,True,True,True
221,Entre 400 et 600,Intel Core i5,4,1920x1080,256,Windows 10,1.85,LENOVO,4,15.6,False,False,False,False,False,False
222,>1150,Intel Core i7,8,1920x1080,512,Windows 10,1.65,MSI,4,15.6,False,True,True,True,True,True
223,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,ACER,4,17.3,False,False,False,False,False,False
225,Entre 800 et 1150,Intel Core i5,16,2256x1504,256,Windows 11,1.288,MICROSOFT,4,13.5,False,True,False,True,True,False
226,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.46,HP,4,14,False,True,True,True,True,True
227,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,17.3,False,False,False,False,False,False
228,Entre 600 et 800,Intel Core i3,8,1920x1080,512,Windows 10,1.46,HP,2,14,False,True,True,True,True,True
231,Entre 800 et 1150,Intel Core i5,8,2256x1504,128,Windows 10,1.64,MICROSOFT,4,13.5,False,True,False,True,True,False
232,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.29,MSI,4,14,False,True,False,True,True,True
233,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.64,ACER,4,14,False,False,False,False,False,False
234,>1150,Intel Core i7,8,1920x1080,512,Windows 10,1.6,MSI,6,15.6,False,True,True,True,True,True
237,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,0.980,HP,6,15.6,False,True,True,True,True,True
239,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
240,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
241,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.9,MSI,8,17.3,False,True,True,True,True,True
242,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.75,HP,6,15.6,False,True,True,True,True,True
243,Entre 600 et 800,Intel Core i3,8,,256,Windows 10,1.64,ASUS,2,17.3,False,True,True,True,True,True
244,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 11,2.3,ASUS,6,15.6,False,True,True,True,True,False
245,>1150,Intel Core i5,16,1920x1080,512,Windows 11,2,ASUS,4,15.6,False,True,True,True,False,False
247,Entre 400 et 600,Intel Core i3,4,1366x768,1000,Windows 10,1.9,ACER,2,15.6,False,True,True,True,True,False
248,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.33,MSI,6,15.6,False,True,True,True,True,True
251,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
256,Entre 600 et 800,Intel Core i5,8,1920x1080,256,ChromeOS,1.5,HP,4,14,False,True,True,True,True,True
258,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.48,HP,6,15.6,False,True,True,True,True,True
259,>1150,Intel Core i7,16,1920x1080,512,Windows 11,1.29,LENOVO,4,13.3,False,True,True,True,True,True
261,Entre 600 et 800,AMD Ryzen,8,1920x1080,256,Windows 11,1.64,ACER,4,15.6,False,True,True,True,True,False
263,Entre 400 et 600,Intel Core i3,8,1600x900,256,Windows 10,1.64,LENOVO,4,17.3,False,False,False,False,False,False
265,Entre 400 et 600,Intel Core i3,4,1920x1080,64,ChromeOS,1.5,HP,2,14,False,True,True,True,True,True
267,>1150,Intel Core i5,8,2048.1536,512,Windows 11,0.999,LENOVO,4,13.3,False,True,False,False,True,False
268,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 11,2,TOSHIBA,4,15.6,False,True,True,True,True,True
269,Entre 800 et 1150,Intel Core i5,16,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
272,>1150,AMD Ryzen,2,2560x1440,1000,Windows 10,1.64,ASUS,4,14,False,False,False,False,False,False
273,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.07,LENOVO,6,15.6,False,True,True,True,True,True
275,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
276,>1150,Apple M1,16,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,False,True,False
277,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.7,ASUS,8,17.3,False,True,True,True,False,False
279,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.46,HP,8,15.6,False,True,True,True,True,True
281,>1150,Intel Core i5,8,1920x1080,256,Windows 11,1.4,DELL,4,14,False,True,True,True,True,True
